250365
date spi1 spi2
12/01/2008 -0.56 -0.15
01/01/2009 1.33 0.65
02/01/2009 1.5 1.66
03/01/2009 0.16 0.75
04/01/2009 1.53 1.31
05/01/2009 0.17 0.98
06/01/2009 1.92 1.47
07/01/2009 0.77 1.66
08/01/2009 1.21 1.26
09/01/2009 0.6 1.09
10/01/2009 0.62 0.67
11/01/2009 -0.83 0.17
12/01/2009 0.66 -0.23
