Sample Station, USA
09/01/1986 1.01 1.01 1.01
10/01/1986 1.01 1.01 1.01
11/01/1986 1.01 1.01 1.01
12/01/1986 1.01 1.01 1.01
01/01/1987 1.02 1.01 1.01
02/01/1987 1.02 1.02 1.01
03/01/1987 1.06 1.06 1.06
04/01/1987 1.06 1.06 1.06
05/01/1987 1.06 1.06 1.06
06/01/1987 1.06 1.06 1.06
07/01/1987 1.06 1.06 1.06
08/01/1987 1.06 1.06 1.06
09/01/1987 1.06 1.06 1.06
10/01/1987 1.06 1.06 1.06
11/01/1987 1.06 1.06 1.06
12/01/1987 1.06 1.06 1.06
01/01/1988 1.07 1.06 1.06
02/01/1988 1.07 1.07 1.06
03/01/1988 1.11 1.11 1.11
04/01/1988 1.11 1.11 1.11
05/01/1988 1.11 1.11 1.11
06/01/1988 1.11 1.11 1.11
07/01/1988 1.11 1.11 1.11
08/01/1988 1.11 1.11 1.11
09/01/1988 1.11 1.11 1.11
10/01/1988 1.11 1.11 1.11
11/01/1988 1.11 1.11 1.11
12/01/1988 1.11 1.11 1.11
01/01/1989 1.12 1.11 1.11
02/01/1989 1.12 1.12 1.11
03/01/1989 1.16 1.16 1.16
04/01/1989 1.16 1.16 1.16
05/01/1989 1.16 1.16 1.16
06/01/1989 1.16 1.16 1.16
07/01/1989 1.16 1.16 1.16
08/01/1989 1.16 1.16 1.16
09/01/1989 1.16 1.16 1.16
10/01/1989 1.16 1.16 1.16
11/01/1989 1.16 1.16 1.16
12/01/1989 1.16 1.16 1.16
01/01/1990 1.17 1.16 1.16
02/01/1990 1.17 1.17 1.16
03/01/1990 1.21 1.21 1.21
04/01/1990 1.21 1.21 1.21
05/01/1990 1.21 1.21 1.21
06/01/1990 1.21 1.21 1.21
07/01/1990 1.21 1.21 1.21
08/01/1990 1.21 1.21 1.21
09/01/1990 1.21 1.21 1.21
10/01/1990 1.21 1.21 1.21
11/01/1990 1.21 1.21 1.21
12/01/1990 1.21 1.21 1.21
01/01/1991 1.22 1.21 1.21
02/01/1991 1.22 1.22 1.21
03/01/1991 1.26 1.26 1.26
04/01/1991 1.26 1.26 1.26
05/01/1991 1.26 1.26 1.26
06/01/1991 1.26 1.26 1.26
07/01/1991 1.26 1.26 1.26
08/01/1991 1.26 1.26 1.26
09/01/1991 1.26 1.26 1.26
10/01/1991 1.26 1.26 1.26
11/01/1991 1.26 1.26 1.26
12/01/1991 1.26 1.26 1.26
01/01/1992 1.27 1.26 1.26
02/01/1992 1.27 1.27 1.26
03/01/1992 1.31 1.31 1.31
04/01/1992 1.31 1.31 1.31
05/01/1992 1.31 1.31 1.31
06/01/1992 1.31 1.31 1.31
07/01/1992 1.31 1.31 1.31
08/01/1992 1.31 1.31 1.31
09/01/1992 1.31 1.31 1.31
10/01/1992 1.31 1.31 1.31
11/01/1992 1.31 1.31 1.31
12/01/1992 1.31 1.31 1.31
01/01/1993 1.32 1.31 1.31
02/01/1993 1.32 1.32 1.31
03/01/1993 1.36 1.36 1.36
04/01/1993 1.36 1.36 1.36
05/01/1993 1.36 1.36 1.36
06/01/1993 1.36 1.36 1.36
07/01/1993 1.36 1.36 1.36
08/01/1993 1.36 1.36 1.36
09/01/1993 1.36 1.36 1.36
10/01/1993 1.36 1.36 1.36
11/01/1993 1.36 1.36 1.36
12/01/1993 1.36 1.36 1.36
01/01/1994 1.36 1.36 1.36
02/01/1994 1.36 1.36 1.36
03/01/1994 1.41 1.41 1.41
04/01/1994 1.41 1.41 1.41
05/01/1994 1.41 1.41 1.41
06/01/1994 1.41 1.41 1.41
07/01/1994 1.41 1.41 1.41
08/01/1994 1.41 1.41 1.41
09/01/1994 1.41 1.41 1.41
10/01/1994 1.41 1.41 1.41
11/01/1994 1.41 1.41 1.41
12/01/1994 1.41 1.41 1.41
01/01/1995 1.41 1.41 1.41
02/01/1995 1.41 1.41 1.41
03/01/1995 1.46 1.46 1.46
04/01/1995 1.46 1.46 1.46
05/01/1995 1.46 1.46 1.46
06/01/1995 1.46 1.46 1.46
07/01/1995 1.46 1.46 1.46
08/01/1995 1.46 1.46 1.46
09/01/1995 1.46 1.46 1.46
10/01/1995 1.46 1.46 1.46
11/01/1995 1.46 1.46 1.46
12/01/1995 1.46 1.46 1.46
01/01/1996 1.46 1.46 1.46
02/01/1996 1.46 1.46 1.46
03/01/1996 1.51 1.51 1.51
04/01/1996 1.51 1.51 1.51
05/01/1996 1.51 1.51 1.51
06/01/1996 1.51 1.51 1.51
07/01/1996 1.51 1.51 1.51
08/01/1996 1.51 1.51 1.51
09/01/1996 1.51 1.51 1.51
10/01/1996 1.51 1.51 1.51
11/01/1996 1.51 1.51 1.51
12/01/1996 1.51 1.51 1.51
01/01/1997 1.51 1.51 1.51
02/01/1997 1.51 1.51 1.51
03/01/1997 1.55 1.55 1.55
04/01/1997 1.55 1.55 1.55
05/01/1997 1.55 1.55 1.55
06/01/1997 1.55 1.55 1.55
07/01/1997 1.55 1.55 1.55
08/01/1997 1.55 1.55 1.55
09/01/1997 1.55 1.55 1.55
10/01/1997 1.55 1.55 1.55
11/01/1997 1.55 1.55 1.55
12/01/1997 1.55 1.55 1.55
01/01/1998 1.56 1.55 1.55
02/01/1998 1.56 1.56 1.55
03/01/1998 1.6 1.6 1.6
04/01/1998 1.6 1.6 1.6
05/01/1998 1.6 1.6 1.6
06/01/1998 1.6 1.6 1.6
07/01/1998 1.6 1.6 1.6
08/01/1998 1.6 1.6 1.6
09/01/1998 1.6 1.6 1.6
10/01/1998 1.6 1.6 1.6
11/01/1998 1.6 1.6 1.6
12/01/1998 1.6 1.6 1.6
01/01/1999 1.61 1.6 1.6
02/01/1999 1.61 1.61 1.6
03/01/1999 1.65 1.65 1.65
04/01/1999 1.65 1.65 1.65
05/01/1999 1.65 1.65 1.65
06/01/1999 1.65 1.65 1.65
07/01/1999 1.65 1.65 1.65
08/01/1999 1.65 1.65 1.65
09/01/1999 1.65 1.65 1.65
10/01/1999 1.65 1.65 1.65
11/01/1999 1.65 1.65 1.65
12/01/1999 1.65 1.65 1.65
01/01/2000 1.65 1.65 1.65
02/01/2000 1.65 1.65 1.65
03/01/2000 1.7 1.7 1.7
04/01/2000 1.7 1.7 1.7
05/01/2000 1.7 1.7 1.7
06/01/2000 1.7 1.7 1.7
07/01/2000 1.7 1.7 1.7
08/01/2000 1.7 1.7 1.7
09/01/2000 1.7 1.7 1.7
10/01/2000 1.7 1.7 1.7
11/01/2000 1.7 1.7 1.7
12/01/2000 1.7 1.7 1.7
01/01/2001 1.7 1.7 1.7
02/01/2001 1.7 1.7 1.7
